model,version,year,km,color,price,location
147,1.6 TS Distinctive,2004,215500,Şampanya,253000,Afyonkarahisar Merkez
156,1.6 TS Distinctive,2005,300000,Kırmızı,245000,Adana Çukurova
Giulietta,1.6 JTD Progression Plus,2015,151000,Beyaz,440000,Gaziantep Şahinbey
159,1.9 JTS Distinctive,2008,139000,Siyah,525000,Kırklareli Lüleburgaz
Giulietta,1.6 JTD Super TCT,2017,111000,Gümüş Gri,664000,İzmir Karşıyaka
156,1.6 TS Distinctive,2004,365000,Gri,250000,Çanakkale Ezine
145,1.6,1997,306000,Beyaz,112500,İstanbul Beylikdüzü
156,1.6 TS,2001,306000,Gri,168500,Bursa Nilüfer
156,1.6 TS,2000,283000,Lacivert,175000,Ankara Sincan
Giulietta,1.4 TB MultiAir Distinctive,2012,165000,Siyah,624000,Karaman Merkez
159,1.9 JTD Distinctive,2007,283000,Gümüş Gri,345000,Bursa Yıldırım
147,2.0 TS Selespeed Distinctive,2003,230000,Siyah,285000,Muğla Bodrum
Giulietta,1.4 TB MultiAir Distinctive,2012,165000,Kırmızı,525000,Ankara Keçiören
156,1.6 TS Distinctive,2005,239000,Gri,230000,Aydın Söke
Giulietta,1.6 JTD Super TCT,2018,86500,Beyaz,629500,İstanbul Bağcılar
Giulietta,1.6 JTD Super TCT,2016,64400,Beyaz,653000,İstanbul Maltepe
Giulietta,1.4 TB MultiAir Distinctive,2012,130000,Kırmızı,525000,Antalya Alanya
Giulia,2.0 T Sprint,2020,8300,Beyaz,1705000,Mersin Toroslar
Giulietta,1.6 JTD Distinctive,2015,278000,Beyaz,385000,İstanbul Pendik
Giulietta,1.4 TB MultiAir Distinctive,2013,196575,Beyaz,584900,Hatay Antakya
Giulietta,1.6 JTD Distinctive,2014,155000,Beyaz,435000,İstanbul Başakşehir
Giulietta,1.4 TB MultiAir Distinctive,2013,136500,Beyaz,588000,Adana Seyhan
Giulietta,1.6 JTD Distinctive,2013,150000,Beyaz,485000,İzmir Gaziemir
159,1.9 JTD Distinctive Plus,2007,285000,Kahverengi,310000,Ankara Etimesgut
159,1.9 JTD Distinctive Plus,2009,172800,Bordo,525000,İstanbul Bahçelievler
Giulietta,1.6 JTD Distinctive,2013,209000,Mavi,465000,İstanbul Ümraniye
Giulietta,1.75 TBI Quadrifoglio Verde,2011,165000,Beyaz,615000,Eskişehir Odunpazarı
147,1.6 TS Distinctive,2003,335000,Siyah,235000,Antalya Muratpaşa
156,1.6 TS Distinctive,2006,266000,Siyah,269500,İzmir Bayraklı
146,1.6 L,1996,323000,Füme,112500,Mersin Yenişehir
Giulietta,1.6 JTD Distinctive,2011,237000,Beyaz,465000,Ankara Keçiören
Giulietta,1.4 TB MultiAir Distinctive,2012,122000,Kırmızı,575000,İstanbul Beykoz
Giulietta,1.6 JTD Distinctive,2012,225000,Kırmızı,447900,İzmir Bayraklı
Giulietta,1.6 JTD Super TCT,2016,154000,Gri,680000,Ankara Yenimahalle
Giulietta,1.6 JTD Distinctive,2014,140000,Mavi,520000,Bilecik Bozüyük
146,1.6 L,1997,249000,Siyah,129750,Isparta Merkez
156,1.6 TS Distinctive,2006,244000,Siyah,250000,Mersin Tarsus
156,2.0 TS Selespeed,2000,321000,Yeşil,209000,Ankara Etimesgut
156,2.0 TS Distinctive,2000,343500,Füme,189900,Ankara Etimesgut
147,1.6 TS Distinctive,2006,350000,Gümüş Gri,219750,Edirne Merkez
Giulietta,1.6 JTD Super TCT,2018,92300,Beyaz,728000,Antalya Alanya
146,1.6 L,1997,241000,Kırmızı,140000,Eskişehir Odunpazarı
Giulietta,1.6 JTD Progression,2017,102000,Füme,600000,Eskişehir Odunpazarı
Giulietta,1.6 JTD Giulietta,2020,18000,Kırmızı,785000,İstanbul Bakırköy
Giulietta,1.6 JTD Distinctive,2014,85000,Beyaz,535000,Bursa Nilüfer
Giulietta,1.6 JTD Super TCT,2016,73000,Siyah,656000,İstanbul Eyüpsultan
Giulietta,1.6 JTD Distinctive,2013,151000,Siyah,470000,Bursa Nilüfer
Giulietta,1.4 TB MultiAir Distinctive,2012,122300,Beyaz,520000,Trabzon Yomra
Giulietta,1.4 TB Progression Plus,2011,137500,Beyaz,418000,Van İpekyolu
145,1.7,1996,215000,Kırmızı,165000,Eskişehir Odunpazarı
156,1.6 TS,2000,226000,Lacivert,183000,Afyonkarahisar Merkez
Giulietta,1.4 TB MultiAir Distinctive,2012,64350,Beyaz,573000,Antalya Serik
MiTo,1.4 T Distinctive,2009,179500,Kırmızı,440000,Bursa Nilüfer
156,2.0 TS Distinctive,2001,219000,Lacivert,210000,Kastamonu Merkez
146,1.6 TS,1998,178000,Kırmızı,88900,Ankara Pursaklar
156,1.6 TS Distinctive,2006,288000,Siyah,254900,Ankara Keçiören
156,1.6 TS Distinctive,2006,321000,Gümüş Gri,256000,Ankara Çankaya
147,1.6 TS Distinctive,2004,310000,Kırmızı,252500,Bursa Osmangazi
Giulietta,1.6 JTD Distinctive,2013,172500,Beyaz,495000,İstanbul Ümraniye
Giulietta,1.6 JTD Distinctive,2012,145000,Beyaz,425000,Kocaeli İzmit
156,1.6 TS Distinctive,2004,330000,Bordo,270000,Bursa Mudanya
166,2.0 TB,1999,289000,Gümüş Gri,230000,İstanbul Çekmeköy
Giulietta,1.6 JTD Distinctive,2011,179500,Beyaz,459500,Ankara Altındağ
Giulietta,1.4 TB MultiAir Progression Pluse,2012,176897,Beyaz,528000,Ankara Çankaya
Giulia,2.0 T Veloce,2022,9000,Gri,2425000,Mersin Yenişehir
Giulietta,1.4 TB MultiAir Distinctive,2011,185000,Beyaz,469000,Edirne Merkez
Giulietta,1.6 JTD Progression Plus,2011,185000,Siyah,385000,Ankara Çankaya
